"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1.00","1.03","1.10","1.05","0.96","1.14","1.10","0.95"
"2","1.03","1.07","1.31","1.21","1.13","1.30","1.21","1.12"
"3","1.11","1.08","1.48","1.32","1.43","1.52","1.32","1.50"
"4","1.57","1.62","2.16","1.86","2.04","2.26","1.92","2.15"
"5","1.62","1.69","2.20","1.94","2.23","2.30","2.03","2.33"
"6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","1.00","0.99","1.06","1.02","0.98","1.06","1.05","0.96"
"8","1.03","1.03","1.24","1.13","1.03","1.29","1.21","1.04"
"9","0.95","0.95","1.31","1.19","1.20","1.35","1.24","1.21"
"10","1.10","1.13","1.55","1.31","1.62","1.61","1.37","1.64"
"11","1.35","1.38","1.68","1.55","1.71","1.75","1.64","1.78"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","0.83","0.84","0.94","0.95","0.91","0.96","0.96","0.88"
"14","0.84","0.84","1.04","0.99","0.96","1.06","1.01","0.96"
"15","0.72","0.72","0.99","0.94","0.97","1.04","0.95","1.01"
"16","0.83","0.85","1.15","1.10","1.22","1.16","1.12","1.23"
"17","0.74","0.77","0.99","0.96","1.07","1.05","1.02","1.13"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","0.85","0.86","0.93","0.93","0.90","0.93","0.99","0.88"
"20","0.69","0.69","0.84","0.82","0.88","0.90","0.89","0.94"
"21","0.69","0.71","0.88","0.85","0.91","0.95","0.91","0.97"
"22","0.66","0.68","0.90","0.88","0.97","0.94","0.92","1.03"
"23","0.66","0.67","0.91","0.89","1.01","0.93","0.92","1.04"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","0.86","0.83","0.92","0.90","0.88","0.91","0.93","0.86"
"26","0.75","0.76","0.94","0.92","0.92","1.01","0.97","0.95"
"27","0.63","0.62","0.86","0.87","0.95","0.90","0.89","0.97"
"28","0.61","0.64","0.83","0.80","0.91","0.86","0.83","0.96"
"29","0.63","0.66","0.87","0.85","0.94","0.91","0.90","0.99"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31","0.75","0.74","0.83","0.85","0.83","0.83","0.89","0.81"
"32","0.68","0.69","0.85","0.85","0.91","0.88","0.87","0.89"
"33","0.52","0.54","0.79","0.75","0.83","0.82","0.79","0.84"
"34","0.53","0.55","0.76","0.76","0.86","0.81","0.81","0.91"
"35","0.56","0.57","0.81","0.80","0.94","0.79","0.81","0.93"
