Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line
08/27/2014,Georgia State,38,33,153,49,31,413,2,1,Abilene Christian,37,36,95,40,30,403,1,0,H,
08/28/2014,Akron,41,29,117,43,27,396,0,0,Howard,0,51,148,26,12,68,0,1,H,
08/28/2014,Arizona State,45,45,267,39,24,303,0,0,Weber State,14,32,152,29,14,156,0,0,H,
08/28/2014,Boise State,13,37,135,48,36,264,4,0,Mississippi,35,34,71,36,25,387,3,0,N,-10
08/28/2014,Central Michigan,20,46,150,26,15,173,0,1,Chattanooga,16,29,106,24,13,150,4,0,H,
08/28/2014,Minnesota,42,40,182,18,10,156,0,1,Eastern Illinois,20,39,99,57,32,310,1,2,H,
08/28/2014,Mississippi,35,34,71,36,25,387,3,0,Boise State,13,37,135,48,36,264,4,0,N,10
08/28/2014,New Mexico State,28,47,197,27,18,118,1,0,Cal-San Luis Obispo,10,49,259,7,2,6,1,1,H,
08/28/2014,Northern Illinois,55,77,424,32,19,211,0,0,Presbyterian,3,31,69,18,10,58,1,2,H,
08/28/2014,Rutgers,41,43,215,27,16,281,1,0,Washington State,38,14,6,56,40,532,1,1,N,-7.5
08/28/2014,San Jose State,42,40,150,26,23,256,0,0,North Dakota,10,32,118,20,14,126,1,1,H,
08/28/2014,South Carolina,28,22,67,40,20,366,1,0,Texas A+M,52,39,169,60,44,511,0,0,H,9
08/28/2014,Temple,37,45,144,36,23,207,0,2,Vanderbilt,7,29,54,34,16,224,3,4,V,-8.5
08/28/2014,Texas A+M,52,39,169,60,44,511,0,0,South Carolina,28,22,67,40,20,366,1,0,V,-9
08/28/2014,Tulane,31,30,254,44,22,262,1,1,Tulsa,38,36,154,53,31,438,2,0,V,-5
08/28/2014,Tulsa,38,36,154,53,31,438,2,0,Tulane,31,30,254,44,22,262,1,1,H,5
08/28/2014,UL-Monroe,17,44,163,41,23,189,0,1,Wake Forest,10,27,-3,22,12,97,1,0,H,1.5
08/28/2014,Utah,56,46,238,32,22,351,0,1,Idaho State,14,44,179,40,21,158,0,0,H,
08/28/2014,Vanderbilt,7,29,54,34,16,224,3,4,Temple,37,45,144,36,23,207,0,2,H,8.5
08/28/2014,Wake Forest,10,27,-3,22,12,97,1,0,UL-Monroe,17,44,163,41,23,189,0,1,V,-1.5
08/28/2014,Washington State,38,14,6,56,40,532,1,1,Rutgers,41,43,215,27,16,281,1,0,N,7.5
08/29/2014,Arizona,58,48,353,46,26,434,0,0,Nevada-Las Vegas,13,31,119,41,22,252,1,0,H,20.5
08/29/2014,Bowling Green,31,35,151,36,25,314,0,0,Western Kentucky,59,41,133,56,46,569,0,0,V,7
08/29/2014,Brigham Young,35,37,205,36,28,308,0,2,Connecticut,10,31,71,48,25,284,1,1,V,14.5
08/29/2014,Colorado,17,34,134,39,24,241,0,0,Colorado State,31,45,266,23,13,134,0,1,N,2.5
08/29/2014,Colorado State,31,45,266,23,13,134,0,1,Colorado,17,34,134,39,24,241,0,0,N,-2.5
08/29/2014,Connecticut,10,31,71,48,25,284,1,1,Brigham Young,35,37,205,36,28,308,0,2,H,-14.5
08/29/2014,Houston,7,23,-26,50,25,234,4,2,Texas-San Antonio,27,50,142,24,15,121,0,1,H,8
08/29/2014,Michigan State,45,50,211,24,18,354,0,0,Jacksonville St,7,25,22,37,18,222,3,0,H,
08/29/2014,Nevada-Las Vegas,13,31,119,41,22,252,1,0,Arizona,58,48,353,46,26,434,0,0,V,-20.5
08/29/2014,Syracuse,27,34,136,35,22,184,0,0,Villanova,26,60,190,27,16,199,0,0,H,
08/29/2014,Texas-San Antonio,27,50,142,24,15,121,0,1,Houston,7,23,-26,50,25,234,4,2,V,-8
08/29/2014,Western Kentucky,59,41,133,56,46,569,0,0,Bowling Green,31,35,151,36,25,314,0,0,H,-7
08/30/2014,Air Force,44,73,539,6,3,19,0,0,Nicholls State,16,30,63,31,18,200,0,0,H,
08/30/2014,Alabama,33,49,288,33,24,250,1,0,West Virginia,23,24,28,45,29,365,0,0,N,22
08/30/2014,Appalachian State,14,36,153,33,17,127,0,0,Michigan,52,36,350,19,16,210,1,0,V,-29.5
08/30/2014,Arkansas,21,29,153,31,18,175,1,0,Auburn,45,48,302,22,16,293,0,1,V,-17
08/30/2014,Arkansas State,37,48,294,30,20,264,0,2,Montana State,10,44,86,26,14,142,2,0,H,
08/30/2014,Auburn,45,48,302,22,16,293,0,1,Arkansas,21,29,153,31,18,175,1,0,H,17
08/30/2014,Ball State,30,53,311,32,20,203,1,0,Colgate,10,28,90,26,14,137,0,0,H,
08/30/2014,Boston College,30,61,338,25,17,173,1,0,Massachusetts,7,22,55,22,9,147,1,0,V,17
08/30/2014,Buffalo,38,49,174,36,25,298,1,1,Duquesne,28,33,51,37,18,322,0,1,H,
08/30/2014,California,31,45,114,39,23,300,2,0,Northwestern,24,36,108,44,24,246,2,0,V,-8.5
08/30/2014,Clemson,21,44,102,32,17,189,1,0,Georgia,45,41,328,26,18,131,0,1,V,-10.5
