Biomass K Na pH Salinity Zn Location Type
676 1441.67 35184.5 5 33 16.4524 OI DVEG
516 1299.19 28170.4 4.75 35 13.9852 OI DVEG
1052 1154.27 26455 4.2 32 15.3276 OI DVEG
868 1045.15 25072.9 4.4 30 17.3128 OI DVEG
1008 521.62 31664.2 5.55 33 22.3312 OI DVEG
436 1273.02 25491.7 5.05 33 12.2778 OI SHORT
544 1346.35 20877.3 4.25 36 17.8225 OI SHORT
680 1253.88 25621.3 4.45 30 14.3516 OI SHORT
640 1242.65 27587.3 4.75 38 13.6826 OI SHORT
492 1282.95 26511.7 4.6 30 11.7566 OI SHORT
984 553.69 7886.5 4.1 30 9.882 OI TALL
1400 494.74 14596 3.45 37 16.6752 OI TALL
1276 526.97 9826.8 3.45 33 12.373 OI TALL
1736 571.14 11978.4 4.1 36 9.4058 OI TALL
1004 408.64 10368.6 3.5 30 14.9302 OI TALL
396 646.65 17307.4 3.25 30 31.2865 SI DVEG
352 514.03 12822 3.35 27 30.1652 SI DVEG
328 350.73 8582.6 3.2 29 28.5901 SI DVEG
392 496.29 12369.5 3.35 34 19.8795 SI DVEG
236 580.92 14731.9 3.3 36 18.5056 SI DVEG
392 535.82 15060.6 3.25 30 22.1344 SI SHORT
268 490.34 11056.3 3.25 28 28.6101 SI SHORT
252 552.39 8118.9 3.2 31 23.1908 SI SHORT
236 661.32 13009.5 3.2 31 24.6917 SI SHORT
340 672.15 15003.7 3.35 35 22.6758 SI SHORT
2436 525.65 10225 7.1 29 0.3729 SI TALL
2216 563.13 8024.2 7.35 35 0.2703 SI TALL
2096 497.96 10393 7.45 35 0.3205 SI TALL
1660 458.38 8711.6 7.45 30 0.2648 SI TALL
2272 498.25 10239.6 7.4 30 0.2105 SI TALL
824 936.26 20436 4.85 26 18.9875 SM DVEG
1196 894.79 12519.9 4.6 29 20.9687 SM DVEG
1960 941.36 18979 5.2 25 23.9841 SM DVEG
2080 1038.79 22986.1 4.75 26 19.9727 SM DVEG
1764 898.05 11704.5 5.2 26 21.3864 SM DVEG
412 989.87 17721 4.55 25 23.7063 SM SHORT
416 951.28 16485.2 3.95 26 30.5589 SM SHORT
504 939.83 17101.3 3.7 26 26.8415 SM SHORT
492 925.42 17849 3.75 27 27.7292 SM SHORT
636 954.11 16949.6 4.15 27 21.5699 SM SHORT
1756 720.72 11344.6 5.6 24 19.6531 SM TALL
1232 782.09 14752.4 5.35 27 20.3295 SM TALL
1400 773.3 13649.8 5.5 26 19.588 SM TALL
1620 829.26 14533 5.5 28 20.1328 SM TALL
1560 856.96 16892.2 5.4 28 19.242 SM TALL
